kappa,mass_GeV,S,B,Z
0.1,1200,52.2909,18574.8,0.383136
0.1,1600,40.4387,18574.8,0.29639
0.1,2000,21.8219,18574.8,0.16002
0.1,2400,4.78355,18574.8,0.035094
0.15,1200,118.16,18574.8,0.864233
0.15,1600,91.2984,18574.8,0.668246
0.15,2000,47.6906,18574.8,0.349473
0.15,2400,10.5857,18574.8,0.0776484
0.2,1200,211.652,18574.8,1.54419
0.2,1600,160.524,18574.8,1.17276
0.2,2000,81.6202,18574.8,0.597562
0.2,2400,17.9685,18574.8,0.131777
0.25,1200,328.326,18574.8,2.38802
0.25,1600,241.898,18574.8,1.76344
0.25,2000,124.132,18574.8,0.907766
0.25,2400,26.3104,18574.8,0.192911
0.3,1200,475.809,18574.8,3.44729
0.3,1600,343.575,18574.8,2.49792
0.3,2000,172.61,18574.8,1.26065
0.35,1200,645.149,18574.8,4.65354
0.35,1600,459.139,18574.8,3.32797
0.4,1200,826.223,18574.8,5.93177
0.4,1600,579.208,18574.8,4.18509
0.45,1200,1016.37,18574.8,7.26145
0.5,1200,1252.87,18574.8,8.89757
