kappa,mass_GeV,S,B,Z
0.1,1200,43.3079,9706.57,0.438599
0.1,1600,33.4586,9706.57,0.339022
0.1,2000,17.8018,9706.57,0.180523
0.1,2400,3.96328,9706.57,0.0402192
0.15,1200,99.0506,9706.57,1.00028
0.15,1600,74.2747,9706.57,0.751023
0.15,2000,38.3021,9706.57,0.388002
0.15,2400,8.35472,9706.57,0.0847642
0.2,1200,170.21,9706.57,1.71268
0.2,1600,130.812,9706.57,1.31889
0.2,2000,64.7989,9706.57,0.655526
0.2,2400,14.5255,9706.57,0.147324
0.25,1200,266.992,9706.57,2.67345
0.25,1600,199.151,9706.57,2.00096
0.25,2000,100.983,9706.57,1.01969
0.25,2400,21.8821,9706.57,0.221854
0.3,1200,389.241,9706.57,3.8739
0.3,1600,280.463,9706.57,2.80645
0.3,2000,139.116,9706.57,1.40202
0.35,1200,527.962,9706.57,5.21878
0.35,1600,369.056,9706.57,3.67669
0.4,1200,671.97,9706.57,6.59602
0.4,1600,458.078,9706.57,4.54353
0.45,1200,824.942,9706.57,8.03856
0.5,1200,1020.04,9706.57,9.84887
