sample,events,mean_sqrt_s_prime_GeV,std_sqrt_s_prime_GeV,q05_sqrt_s_prime_GeV,q50_sqrt_s_prime_GeV,q95_sqrt_s_prime_GeV,frac_sprime_below_0p99,frac_sprime_below_0p95,mean_x1,mean_x2,mean_abs_beta_z,mean_recoil_nominal_minus_event_GeV,q95_abs_recoil_shift_GeV
Tt1200-80ISR_clic3000ll_nev10000_fresh,10000,2774.34,353.586,1935.02,2965.5,3000,0.5126,0.348,0.933508,0.932527,0.0752767,242.126,1098.94
Tt1200ISR_clic3000ll_nev10000_fresh,10000,2781.83,345.577,1950.48,2967.69,3000,0.507,0.3423,0.933928,0.936209,0.0724298,236.145,1090.93
Tt1200_80ISR_clic3000ll_nev10000_fresh,10000,2778.85,348.062,1951.44,2967.91,3000,0.5059,0.3467,0.934062,0.934467,0.0736218,240.437,1089.85
Tt1600-80ISR_clic3000ll_nev10000_fresh,10000,2860.78,233.728,2311.21,2981.49,3000,0.4567,0.2699,0.957318,0.956827,0.0449875,145.473,715.22
Tt1600ISR_clic3000ll_nev10000_fresh,10000,2862.16,232.813,2305.39,2981.95,3000,0.4521,0.2688,0.957826,0.957083,0.0442541,144.586,718.022
Tt1600_80ISR_clic3000ll_nev10000_fresh,10000,2858.59,233.861,2310.73,2980.55,3000,0.4597,0.2791,0.955218,0.957503,0.0456139,148.419,717.526
Tt2000-80ISR_clic3000ll_nev10000_fresh,10000,2918.51,142.332,2584.42,2990.89,3000,0.3891,0.1916,0.974066,0.974126,0.0256205,83.688,423.611
Tt2000ISR_clic3000ll_nev10000_fresh,10000,2918.49,142.808,2587.9,2990.86,3000,0.3885,0.1917,0.974565,0.973637,0.0256819,83.3219,418.871
Tt2000_80ISR_clic3000ll_nev10000_fresh,10000,2916.5,146.406,2565.89,2991.27,3000,0.3902,0.1924,0.973173,0.973812,0.0262021,85.2521,434.658
Tt2400-80ISR_clic3000ll_nev10000_fresh,10000,2961.61,70.4471,2797.38,2996.39,3000,0.2891,0.0852,0.987694,0.987321,0.0118089,38.8929,203.227
Tt2400ISR_clic3000ll_nev10000_fresh,10000,2962.24,70.7225,2797.03,2996.58,3000,0.282,0.0836,0.987832,0.987603,0.0116556,38.0609,204.428
Tt2400_80ISR_clic3000ll_nev10000_fresh,10000,2962.75,69.3118,2798.8,2996.68,3000,0.2877,0.0806,0.988126,0.987626,0.0114674,37.7258,202.592
ttbar-80ISR_clic3000ll_nev10000_fresh,10000,2302.02,851.148,608.695,2778.03,3000,0.6565,0.5374,0.829042,0.817647,0.245926,803.33,2381.44
ttbarISR_clic3000ll_nev10000_fresh,10000,2289.89,859.194,592.883,2766.22,3000,0.6601,0.5417,0.827592,0.812168,0.248984,814.738,2391.09
ttbar_80ISR_clic3000ll_nev10000_fresh,10000,2287.41,851.031,605.862,2748.4,3000,0.6645,0.5502,0.82259,0.814823,0.249475,818.138,2384.22
tth-80ISR_clic3000ll_nev10000_fresh,10000,2542.65,647.532,1032.8,2899.18,3000,0.5947,0.4605,0.881283,0.872743,0.160328,474.246,1891.04
tthISR_clic3000ll_nev10000_fresh,10000,2551.65,645.515,1037.29,2909.59,3000,0.5847,0.4514,0.882363,0.876238,0.156005,466.331,1889.12
tth_80ISR_clic3000ll_nev10000_fresh,10000,2556.53,639.34,1055.3,2907.67,3000,0.5924,0.4506,0.883085,0.877748,0.154742,461.912,1883.08
ttz-80ISR_clic3000ll_nev10000_fresh,10000,2637.65,570.519,1263.72,2947.04,3000,0.549,0.3982,0.900763,0.900075,0.124881,381.826,1732.61
ttzISR_clic3000ll_nev10000_fresh,10000,2636.47,568.903,1277.52,2945.1,3000,0.552,0.3967,0.899269,0.900348,0.124768,380.757,1703.81
ttz_80ISR_clic3000ll_nev10000_fresh,10000,2630.43,581.817,1220.22,2946.22,3000,0.5467,0.3984,0.901815,0.896736,0.129549,386.336,1753.95
w_w-z-80ISR_clic3000ll_nev10000_fresh,10000,2717.36,500.711,1477.77,2974.99,3000,0.485,0.3377,0.925164,0.917701,0.0976079,nan,nan
w_w-zISR_clic3000ll_nev10000_fresh,10000,2720.12,502.76,1473.02,2976.76,3000,0.4824,0.3334,0.926692,0.917667,0.0966204,nan,nan
w_w-z_80ISR_clic3000ll_nev10000_fresh,10000,2706.12,515.722,1453.72,2972.12,3000,0.4949,0.3461,0.921596,0.915092,0.101199,nan,nan
