sample,events,mean_sqrt_s_prime_GeV,std_sqrt_s_prime_GeV,q05_sqrt_s_prime_GeV,q50_sqrt_s_prime_GeV,q95_sqrt_s_prime_GeV,frac_sprime_below_0p99,frac_sprime_below_0p95,mean_x1,mean_x2,mean_abs_beta_z,mean_recoil_nominal_minus_event_GeV,q95_abs_recoil_shift_GeV
Tt1200-80ISR_isronlyll_nev10000,10000,2779.68,345.628,1962.95,2964.82,3000,0.5157,0.3479,0.934727,0.934012,0.0730457,240.568,1073.93
Tt1200ISR_isronlyll_nev10000,10000,2783.42,342.682,1966.58,2966.99,3000,0.5085,0.3409,0.937974,0.93298,0.0719033,235.162,1055.86
Tt1200_80ISR_isronlyll_nev10000,10000,2778.28,343.856,1965.31,2962.8,3000,0.5204,0.3514,0.934347,0.933686,0.0739872,240.895,1078.55
Tt1600-80ISR_isronlyll_nev10000,10000,2860.43,232.572,2308.74,2982.4,3000,0.4493,0.2731,0.956073,0.957776,0.0450057,147.2,709.998
Tt1600ISR_isronlyll_nev10000,10000,2862.11,229.375,2320.42,2982.62,3000,0.4483,0.2725,0.95706,0.957651,0.0441472,145.044,693.869
Tt1600_80ISR_isronlyll_nev10000,10000,2860.65,230.942,2314.69,2981.8,3000,0.4539,0.2737,0.956926,0.957081,0.0453321,146.195,696.735
Tt2000-80ISR_isronlyll_nev10000,10000,2919.1,142.417,2591.25,2990.42,3000,0.3898,0.1871,0.974028,0.974529,0.0252669,82.935,416.513
Tt2000ISR_isronlyll_nev10000,10000,2916.97,145.702,2575.5,2990.95,3000,0.3866,0.1914,0.973985,0.973328,0.026273,84.7709,429.544
Tt2000_80ISR_isronlyll_nev10000,10000,2918.74,144.284,2575.03,2991.29,3000,0.3844,0.1844,0.974683,0.973735,0.0256541,83.4117,431.244
Tt2400-80ISR_isronlyll_nev10000,10000,2961.91,70.1436,2801.14,2996.29,3000,0.2917,0.0827,0.987514,0.987689,0.0116108,38.4849,198.997
Tt2400ISR_isronlyll_nev10000,10000,2960.35,71.6568,2793.95,2996.36,3000,0.3003,0.0876,0.986989,0.987202,0.0121223,40.0102,207.112
Tt2400_80ISR_isronlyll_nev10000,10000,2963.24,67.9342,2804.38,2996.67,3000,0.2855,0.0803,0.988307,0.98775,0.0112804,37.187,195.583
ttbar-80ISR_isronlyll_nev10000,10000,2273.39,861.548,583.318,2740.59,3000,0.6636,0.5505,0.821297,0.809404,0.254769,831.748,2394.13
ttbarISR_isronlyll_nev10000,10000,2273.82,858.162,601.246,2736.55,3000,0.6644,0.5543,0.816536,0.813746,0.253979,826.202,2383.23
ttbar_80ISR_isronlyll_nev10000,10000,2295.98,848.891,609.058,2763.3,3000,0.6613,0.5441,0.827192,0.814725,0.246436,811.147,2382.13
tth-80ISR_isronlyll_nev10000,10000,2548.85,649.349,1039.79,2907.66,3000,0.5946,0.4478,0.883273,0.874383,0.15734,470.876,1900.69
tthISR_isronlyll_nev10000,10000,2544.01,654.825,1032.34,2914.78,3000,0.583,0.4437,0.882845,0.872977,0.159889,472.874,1902.35
tth_80ISR_isronlyll_nev10000,10000,2549.74,646.453,1039.61,2909.96,3000,0.5894,0.448,0.879432,0.878414,0.157369,464.582,1900.33
ttz-80ISR_isronlyll_nev10000,10000,2643.18,567.168,1259.58,2949.99,3000,0.5422,0.3948,0.903576,0.900188,0.123326,375.017,1711.95
ttzISR_isronlyll_nev10000,10000,2635.11,572.173,1248.32,2945.25,3000,0.5465,0.4058,0.89982,0.900434,0.127785,382.142,1714
ttz_80ISR_isronlyll_nev10000,10000,2630.55,577.323,1235.43,2944.31,3000,0.5527,0.4045,0.903076,0.894758,0.128677,388.513,1740.15
w_w-z-80ISR_isronlyll_nev10000,10000,2705.61,512.864,1461.2,2971.07,3000,0.4977,0.3518,0.917307,0.919522,0.10199,nan,nan
w_w-zISR_isronlyll_nev10000,10000,2708.07,509.037,1468.78,2970.89,3000,0.4977,0.3465,0.916143,0.921665,0.100643,nan,nan
w_w-z_80ISR_isronlyll_nev10000,10000,2696.15,528.261,1385.73,2971.62,3000,0.497,0.3494,0.916848,0.915298,0.105245,nan,nan
