mass_GeV,polarization,cut,S_clean,S_overlay,S_ratio_overlay_clean,B_clean,B_overlay,B_ratio_overlay_clean,Z_clean,Z_overlay,Z_ratio_overlay_clean
1200,minus80,BDT 1200,195.454,193.919,0.9921464897111341,13243.717999999999,13213.957,0.9977528213753873,1.6942464293730652,1.6828555566132635,0.9932767320253307
1200,unpol,BDT 1200,178.218,178.091,0.9992873896014994,10278.381,10229.685000000001,0.9952622888760401,1.7528362773504123,1.7557309616368872,1.001651428786521
1200,plus80,BDT 1200,156.966,157.647,1.0043385191697565,7133.33716,7096.69416,0.9948631335967862,1.8517315431169616,1.8644962974263577,1.0068934151696252
1600,minus80,BDT 1600,135.567,134.804,0.9943717866442423,8421.419,8524.589,1.0122509045090857,1.473337848782636,1.4562214264181446,0.9883825543621009
1600,unpol,BDT 1600,129.474,128.868,0.995319523610918,6404.3043,6356.6273,0.9925554755416603,1.6124750806925474,1.6109205402908864,0.9990359290383617
1600,plus80,BDT 1600,116.134,116.212,1.0006716379354883,4300.7895,4235.0905,0.9847239675413085,1.7629829272207829,1.7776708538911812,1.0083312926311503
2000,minus80,BDT 2000,71.7651,71.9284,1.0022754793067938,6737.647,6723.977000000001,0.997971101780785,0.8727521330643705,0.8756201351853824,1.0032861588214537
2000,unpol,BDT 2000,64.5856,63.994,0.9908400634197096,5052.4933,4973.2193,0.9843099247652638,0.9066955494399717,0.9055095270277097,0.9986919287152182
2000,plus80,BDT 2000,57.3865,57.6076,1.0038528225279464,3470.58016,3464.9471599999997,0.9983769284268599,0.9714453792186539,0.9759659595376498,1.0046534580489042
2400,minus80,BDT 2400,14.5674,14.5054,0.9957439213586502,5758.137,5741.851000000001,0.9971716546514959,0.1918925367281677,0.1913467310834759,0.9971556702829721
2400,unpol,BDT 2400,13.5324,13.3452,0.9861665336525671,4325.6997,4248.987700000001,0.9822659904015068,0.20564608208983037,0.20462337764866287,0.9950268712597171
2400,plus80,BDT 2400,12.0366,11.8855,0.9874466211388598,2820.2623200000003,2792.46032,0.9901420517507038,0.22649081437081323,0.22475859428121586,0.9923519190197208
