scenario,overlay,mass_GeV,polarization,cut,S,B,S_over_sqrt_SB,Z_A,Z_A_5pctB,Z_A_10pctB_5pctS
isronlyll,False,1200,minus80,BDT 1200,191.463,12046.341999999999,1.7307450378239952,1.739854273971633,0.3111122508422883,0.14962177547099628
isronlyll,False,1200,unpol,BDT 1200,185.267,9706.071600000001,1.862818467096008,1.874577554878997,0.37181548505358153,0.17933296790857664
isronlyll,False,1200,plus80,BDT 1200,159.478,6880.11416,1.9007588931030726,1.915305157471132,0.44733277701720053,0.21704950153805957
isronlyll,False,1600,minus80,BDT 1600,140.002,7791.607599999999,1.5720037400727946,1.5813493818743185,0.3484550872057762,0.16866434543546063
isronlyll,False,1600,unpol,BDT 1600,133.666,5920.878299999999,1.7178301514769951,1.730636988628833,0.43384333374824896,0.2111881669968227
isronlyll,False,1600,plus80,BDT 1600,115.62,4378.58716,1.7246716375219964,1.7396875333833401,0.5013276394075032,0.24601675178884497
isronlyll,False,2000,minus80,BDT 2000,71.9697,6152.2195,0.9122382948550506,0.91577824415723,0.22585799966142117,0.10983774764071187
isronlyll,False,2000,unpol,BDT 2000,66.8551,4618.7063,0.9766832194621721,0.9813674804640775,0.27644459140593397,0.13543408997721204
isronlyll,False,2000,plus80,BDT 2000,58.5355,3524.0551600000003,0.9779592024799925,0.983336801907103,0.31317946348512093,0.15480530091916508
isronlyll,False,2400,minus80,BDT 2400,13.7136,4963.921600000001,0.19437479363438204,0.19455358471324977,0.053105953270343474,0.025962311685878772
isronlyll,False,2400,unpol,BDT 2400,13.9464,4172.4966,0.21554578066207583,0.2157855978459616,0.06379040083475201,0.031346796131736764
isronlyll,False,2400,plus80,BDT 2400,11.682,3130.45216,0.20840341910307278,0.20866225192893276,0.07019717332998301,0.03485788873636804
isronlyll,True,1200,minus80,BDT 1200,190.625,12384.447,1.6999048638632628,1.708571225146721,0.30147471393184017,0.1449388499695869
isronlyll,True,1200,unpol,BDT 1200,184.634,9470.981899999999,1.8789779686439803,1.8910899239039922,0.3795078720598283,0.1831102900371823
isronlyll,True,1200,plus80,BDT 1200,158.685,6900.75416,1.8886469268931878,1.9029866971821798,0.4438393494505813,0.2153410991560114
isronlyll,True,1600,minus80,BDT 1600,139.142,7856.7356,1.5560558220704799,1.5651745829114097,0.34354145145746157,0.16626074867256016
isronlyll,True,1600,unpol,BDT 1600,133.146,5902.8143,1.7137794720854662,1.7265454524507902,0.4334389881950225,0.21100626653971472
isronlyll,True,1600,plus80,BDT 1600,114.612,4357.62316,1.7138301363667348,1.728693344924601,0.49926432021804057,0.2450399480977215
isronlyll,True,2000,minus80,BDT 2000,71.1531,6191.9794999999995,0.8990793500401306,0.9025067939388498,0.22191953833607533,0.10790666575126312
isronlyll,True,2000,unpol,BDT 2000,66.5095,4492.7403,0.9850017204976196,0.9898325713478248,0.28238299920014287,0.13845655306144566
isronlyll,True,2000,plus80,BDT 2000,58.3142,3555.15416,0.9700903709817037,0.9753584983337583,0.3094236081361013,0.15289913484814782
isronlyll,True,2400,minus80,BDT 2400,13.6516,4958.6796,0.19359918751982103,0.1937766481805426,0.05291982279872407,0.0258720639222069
isronlyll,True,2400,unpol,BDT 2400,13.9277,4059.1066,0.21823297338609465,0.21848221923516123,0.06540281623669528,0.03216785984229939
isronlyll,True,2400,plus80,BDT 2400,11.5813,3092.85116,0.20785774133510562,0.20811678117770677,0.07038943363227758,0.03497082668742579
clic3000ll,False,1200,minus80,BDT 1200,195.454,13243.717999999999,1.6860028586556568,1.6942464293730652,0.28940812542945044,0.13903188276180264
clic3000ll,False,1200,unpol,BDT 1200,178.218,10278.381,1.742835264351382,1.7528362773504123,0.33831457533451553,0.16303879694932624
clic3000ll,False,1200,plus80,BDT 1200,156.966,7133.33716,1.838369461373907,1.8517315431169616,0.42522807626305276,0.20617397833073356
clic3000ll,False,1600,minus80,BDT 1600,135.567,8421.419,1.4655261590031605,1.473337848782636,0.31293874953019396,0.15126620580761221
clic3000ll,False,1600,unpol,BDT 1600,129.474,6404.3043,1.601770785335524,1.6124750806925474,0.3897328757472227,0.18937928243236288
clic3000ll,False,1600,plus80,BDT 1600,116.134,4300.7895,1.7474286260374012,1.7629829272207829,0.5121850269296073,0.2514840188045217
clic3000ll,False,2000,minus80,BDT 2000,71.7651,6737.647,0.8696780026092812,0.8727521330643705,0.20626204666020395,0.10011089667279406
clic3000ll,False,2000,unpol,BDT 2000,64.5856,5052.4933,0.902868792210573,0.9066955494399717,0.24509909043918615,0.11977479702389629
clic3000ll,False,2000,plus80,BDT 2000,57.3865,3470.58016,0.9661565484543382,0.9714453792186539,0.3115267630353629,0.15407602755628724
clic3000ll,False,2400,minus80,BDT 2400,14.5674,5758.137,0.19173102137385417,0.1918925367281677,0.04888688763800928,0.02380895191441899
clic3000ll,False,2400,unpol,BDT 2400,13.5324,4325.6997,0.20543213807397567,0.20564608208983037,0.059801270125481414,0.0293531303754971
clic3000ll,False,2400,plus80,BDT 2400,12.0366,2820.2623200000003,0.22616962863343784,0.22649081437081323,0.0797746565515447,0.03979200331106837
clic3000ll,True,1200,minus80,BDT 1200,193.919,13213.957,1.6747129188684118,1.6828555566132635,0.2877802416927535,0.13825308234258774
clic3000ll,True,1200,unpol,BDT 1200,178.091,10229.685000000001,1.7456734397862839,1.7557309616368872,0.3396450121563363,0.1636908659812006
clic3000ll,True,1200,plus80,BDT 1200,157.647,7096.69416,1.8509160554488158,1.8644962974263577,0.42919097786108856,0.20811678277609202
clic3000ll,True,1600,minus80,BDT 1600,134.804,8524.589,1.4486352673043725,1.4562214264181446,0.30752348132934854,0.1486180702681058
clic3000ll,True,1600,unpol,BDT 1600,128.868,6356.6273,1.6001972287548116,1.6109205402908864,0.3907256013475562,0.18989247472093465
clic3000ll,True,1600,plus80,BDT 1600,116.212,4235.0905,1.7617380620858207,1.7776708538911812,0.5200684728977537,0.255477911938152
clic3000ll,True,2000,minus80,BDT 2000,71.9284,6723.977000000001,0.8725227056405863,0.8756201351853824,0.20713686438300608,0.10053975823761381
