mass_GeV,polarization,cut,S_isr_only,S_clic_spectrum,S_ratio_clic_isr,B_isr_only,B_clic_spectrum,B_ratio_clic_isr,Z_isr_only,Z_clic_spectrum,Z_ratio_clic_isr
1200,minus80,BDT 1200,191.463,195.454,1.0208447585173115,12046.341999999999,13243.717999999999,1.099397476844008,1.739854273971633,1.6942464293730652,0.9737863996537728
1200,unpol,BDT 1200,185.267,178.218,0.9619522095138368,9706.071600000001,10278.381,1.0589640612171043,1.874577554878997,1.7528362773504123,0.9350566866589615
1200,plus80,BDT 1200,159.478,156.966,0.9842486110936932,6880.11416,7133.33716,1.0368050578974695,1.915305157471132,1.8517315431169616,0.9668075794052006
1600,minus80,BDT 1600,140.002,135.567,0.968321881115984,7791.607599999999,8421.419,1.0808320223929142,1.5813493818743185,1.473337848782636,0.9316966039701738
1600,unpol,BDT 1600,133.666,129.474,0.968638247572307,5920.878299999999,6404.3043,1.081647683925542,1.730636988628833,1.6124750806925474,0.9317234586382531
1600,plus80,BDT 1600,115.62,116.134,1.0044455976474658,4378.58716,4300.7895,0.982232245891846,1.7396875333833401,1.7629829272207829,1.0133905620350903
2000,minus80,BDT 2000,71.9697,71.7651,0.9971571369618047,6152.2195,6737.647,1.0951571217509388,0.91577824415723,0.8727521330643705,0.9530168887857176
2000,unpol,BDT 2000,66.8551,64.5856,0.9660534499237905,4618.7063,5052.4933,1.0939195895612588,0.9813674804640775,0.9066955494399717,0.9239103266507319
2000,plus80,BDT 2000,58.5355,57.3865,0.9803708860435121,3524.0551600000003,3470.58016,0.9848257199243158,0.983336801907103,0.9714453792186539,0.9879070704306128
2400,minus80,BDT 2400,13.7136,14.5674,1.0622593629681485,4963.921600000001,5758.137,1.159997571275098,0.19455358471324977,0.1918925367281677,0.9863222875640962
2400,unpol,BDT 2400,13.9464,13.5324,0.9703149199793495,4172.4966,4325.6997,1.036717369643872,0.2157855978459616,0.20564608208983037,0.953011156178415
2400,plus80,BDT 2400,11.682,12.0366,1.0303543913713404,3130.45216,2820.2623200000003,0.900912128936671,0.20866225192893276,0.22649081437081323,1.085442202780178
