project,actions,lpp1,lpp2,ebeam1,ebeam2,polbeam1,polbeam2,pdlabel,pdlabel1,pdlabel2,lhaid
Tt1200+80ISR,ok,-3,3,1500.0,1500.0,0.0,80.0,,isronlyll,isronlyll,0
Tt1200-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80.0,,isronlyll,isronlyll,0
Tt1200ISR,ok,-3,3,1500.0,1500.0,0.0,0.0,,isronlyll,isronlyll,0
Tt1200kappa010+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa010-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa015+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa015-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa020+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa020-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa025+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa025-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa030+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa030-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa035+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa035-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa040+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa040-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa045+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa045-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa050+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa050-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1200kappa090+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1500kappa010+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1500kappa010-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1500kappa015+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1500kappa015-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1500kappa020+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1500kappa020-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1500kappa025+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1500kappa025-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1500kappa030+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1500kappa030-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1500kappa035+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1500kappa035-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1500kappa040+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1500kappa040-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1500kappa045+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1500kappa050+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1600+80ISR,ok,-3,3,1500.0,1500.0,0.0,80.0,,isronlyll,isronlyll,0
Tt1600-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80.0,,isronlyll,isronlyll,0
Tt1600ISR,ok,-3,3,1500.0,1500.0,0.0,0.0,,isronlyll,isronlyll,0
Tt1600kappa010+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1600kappa010-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1600kappa015+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1600kappa015-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1600kappa020+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1600kappa020-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1600kappa025+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1600kappa025-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1600kappa030+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1600kappa030-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1600kappa035+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1600kappa035-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1600kappa040+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1600kappa040-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1600kappa045+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1600kappa050+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1700kappa010+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1700kappa010-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1700kappa015+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1700kappa015-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1700kappa020+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1700kappa020-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1700kappa025+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1700kappa025-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1700kappa030+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1700kappa030-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1800kappa010+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1800kappa010-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1800kappa015+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1800kappa015-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1800kappa020+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1800kappa020-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1800kappa025+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1800kappa025-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1800kappa030+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1800kappa030-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1900kappa010+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1900kappa010-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1900kappa015+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1900kappa015-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1900kappa020+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1900kappa020-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1900kappa025+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1900kappa025-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt1900kappa030+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt1900kappa030-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2000+80ISR,ok,-3,3,1500.0,1500.0,0.0,80.0,,isronlyll,isronlyll,0
Tt2000-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80.0,,isronlyll,isronlyll,0
Tt2000ISR,ok,-3,3,1500.0,1500.0,0.0,0.0,,isronlyll,isronlyll,0
Tt2000kappa010+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2000kappa010-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2000kappa015+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2000kappa015-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2000kappa020+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2000kappa020-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2000kappa025+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2000kappa025-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2000kappa030+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2000kappa030-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2100kappa010+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2100kappa010-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2100kappa015+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2100kappa015-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2100kappa020+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2100kappa020-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2100kappa025+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2100kappa025-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2200kappa010+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2200kappa010-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2200kappa015+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2200kappa015-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2200kappa020+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2200kappa020-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2200kappa025+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2200kappa025-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2300kappa010+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2300kappa010-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2300kappa015+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2300kappa015-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2300kappa020+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2300kappa020-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2300kappa025+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2300kappa025-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2400+80ISR,ok,-3,3,1500.0,1500.0,0.0,80.0,,isronlyll,isronlyll,0
Tt2400-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80.0,,isronlyll,isronlyll,0
Tt2400ISR,ok,-3,3,1500.0,1500.0,0.0,0.0,,isronlyll,isronlyll,0
Tt2400kappa010+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2400kappa010-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2400kappa015+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2400kappa015-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2400kappa020+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2400kappa020-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
Tt2400kappa025+80ISR,ok,-3,3,1500.0,1500.0,0.0,80,clic3000ll,clic3000ll,clic3000ll,0
Tt2400kappa025-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80,clic3000ll,clic3000ll,clic3000ll,0
ttbar+80ISR,ok,-3,3,1500.0,1500.0,0.0,80.0,,isronlyll,isronlyll,0
ttbar-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80.0,,isronlyll,isronlyll,0
ttbar-80ISR2,ok,-3,3,1500.0,1500.0,0.0,-80.0,,clic3000ll,clic3000ll,0
ttbarISR,ok,-3,3,1500.0,1500.0,0.0,0.0,,isronlyll,isronlyll,0
tth+80ISR,ok,-3,3,1500.0,1500.0,0.0,80.0,,isronlyll,isronlyll,0
tth-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80.0,,isronlyll,isronlyll,0
tthISR,ok,-3,3,1500.0,1500.0,0.0,0.0,,isronlyll,isronlyll,0
ttz+80ISR,ok,-3,3,1500.0,1500.0,0.0,80.0,,isronlyll,isronlyll,0
ttz-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80.0,,isronlyll,isronlyll,0
ttzISR,ok,-3,3,1500.0,1500.0,0.0,0.0,,isronlyll,isronlyll,0
w+w-z+80ISR,ok,-3,3,1500.0,1500.0,0.0,80.0,,isronlyll,isronlyll,0
w+w-z-80ISR,ok,-3,3,1500.0,1500.0,0.0,-80.0,,isronlyll,isronlyll,0
w+w-z-80ISR2,ok,-3,3,1500.0,1500.0,0.0,-80.0,,clic3000ll,clic3000ll,0
w+w-zISR,ok,-3,3,1500.0,1500.0,0.0,0.0,,isronlyll,isronlyll,0
