sample,command,status,returncode,start,end,cross_section_pb,cross_section_unc_pb,events,log
Tt1200-80ISR_isronlyll_nev10000,JHEP_Revised/config/madgraph_runs/Tt1200-80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:09:00,2026-05-28T15:10:57,0.0002791,7.556e-07,10000,JHEP_Revised/logs/mg5_queue/Tt1200-80ISR_isronlyll_nev10000.log
Tt1200ISR_isronlyll_nev10000,JHEP_Revised/config/madgraph_runs/Tt1200ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:10:57,2026-05-28T15:12:55,0.0002533,4.708e-07,10000,JHEP_Revised/logs/mg5_queue/Tt1200ISR_isronlyll_nev10000.log
Tt1200_80ISR_isronlyll_nev10000,JHEP_Revised/config/madgraph_runs/Tt1200_80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:12:55,2026-05-28T15:14:53,0.0002264,6.31e-07,10000,JHEP_Revised/logs/mg5_queue/Tt1200_80ISR_isronlyll_nev10000.log
Tt1600-80ISR_isronlyll_nev10000,JHEP_Revised/config/madgraph_runs/Tt1600-80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:14:53,2026-05-28T15:16:55,0.0001913,4.693e-07,10000,JHEP_Revised/logs/mg5_queue/Tt1600-80ISR_isronlyll_nev10000.log
Tt1600ISR_isronlyll_nev10000,JHEP_Revised/config/madgraph_runs/Tt1600ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:16:55,2026-05-28T15:18:57,0.0001735,2.737e-07,10000,JHEP_Revised/logs/mg5_queue/Tt1600ISR_isronlyll_nev10000.log
Tt1600_80ISR_isronlyll_nev10000,JHEP_Revised/config/madgraph_runs/Tt1600_80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:18:57,2026-05-28T15:20:56,0.0001551,3.15e-07,10000,JHEP_Revised/logs/mg5_queue/Tt1600_80ISR_isronlyll_nev10000.log
Tt2000-80ISR_isronlyll_nev10000,JHEP_Revised/config/madgraph_runs/Tt2000-80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:20:56,2026-05-28T15:23:25,0.0001089,2.381e-07,10000,JHEP_Revised/logs/mg5_queue/Tt2000-80ISR_isronlyll_nev10000.log
Tt2000ISR_isronlyll_nev10000,JHEP_Revised/config/madgraph_runs/Tt2000ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:23:25,2026-05-28T15:25:28,9.875e-05,1.252e-07,10000,JHEP_Revised/logs/mg5_queue/Tt2000ISR_isronlyll_nev10000.log
Tt2000_80ISR_isronlyll_nev10000,JHEP_Revised/config/madgraph_runs/Tt2000_80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:25:28,2026-05-28T15:27:22,8.849e-05,1.562e-07,10000,JHEP_Revised/logs/mg5_queue/Tt2000_80ISR_isronlyll_nev10000.log
Tt2400-80ISR_isronlyll_nev10000,JHEP_Revised/config/madgraph_runs/Tt2400-80ISR_isronlyll_nev10000.mg5,ok,0,2026-05-28T15:27:22,2026-05-28T15:29:48,4.131e-05,8.154e-08,10000,JHEP_Revised/logs/mg5_queue/Tt2400-80ISR_isronlyll_nev10000.log
