command,status,returncode,start,end,log
JHEP_Revised/config/madgraph_runs_fresh/Tt1200-80ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T19:30:18,2026-05-29T19:32:43,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/Tt1200-80ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/Tt1200ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T19:32:43,2026-05-29T19:35:01,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/Tt1200ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/Tt1200_80ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T19:35:01,2026-05-29T19:37:19,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/Tt1200_80ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/Tt1600-80ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T19:37:19,2026-05-29T19:39:39,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/Tt1600-80ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/Tt1600ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T19:39:39,2026-05-29T19:41:57,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/Tt1600ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/Tt1600_80ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T19:41:57,2026-05-29T19:44:15,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/Tt1600_80ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/Tt2000-80ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T19:44:15,2026-05-29T19:46:33,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/Tt2000-80ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/Tt2000ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T19:46:33,2026-05-29T19:48:46,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/Tt2000ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/Tt2000_80ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T19:48:46,2026-05-29T19:51:02,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/Tt2000_80ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/Tt2400-80ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T19:51:02,2026-05-29T19:53:14,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/Tt2400-80ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/Tt2400ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T19:53:14,2026-05-29T19:55:24,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/Tt2400ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/Tt2400_80ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T19:55:24,2026-05-29T19:57:38,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/Tt2400_80ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/ttbar-80ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T19:57:38,2026-05-29T19:59:13,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/ttbar-80ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/ttbarISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T19:59:13,2026-05-29T20:00:49,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/ttbarISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/ttbar_80ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T20:00:49,2026-05-29T20:02:24,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/ttbar_80ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/tth-80ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T20:02:24,2026-05-29T20:04:14,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/tth-80ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/tthISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T20:04:14,2026-05-29T20:06:04,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/tthISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/tth_80ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T20:06:04,2026-05-29T20:07:52,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/tth_80ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/ttz-80ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T20:07:52,2026-05-29T20:14:48,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/ttz-80ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/ttzISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T20:14:48,2026-05-29T20:20:55,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/ttzISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/ttz_80ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T20:20:55,2026-05-29T20:26:58,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/ttz_80ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/w_w-z-80ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T20:26:58,2026-05-29T20:30:38,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/w_w-z-80ISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/w_w-zISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T20:30:38,2026-05-29T20:34:16,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/w_w-zISR_clic3000ll_nev10000_fresh.log
JHEP_Revised/config/madgraph_runs_fresh/w_w-z_80ISR_clic3000ll_nev10000_fresh.mg5,ok,0,2026-05-29T20:34:16,2026-05-29T20:37:58,JHEP_Revised/logs/mg5_queue_clic3000ll_fresh/w_w-z_80ISR_clic3000ll_nev10000_fresh.log
