sample,command,status,project,project_dir,run_name,hard_lhe,decayed_lhe,hepmc,hepmc_gz,hepmc_for_analysis,state,list_file
Tt1200-80ISR_clic3000ll_nev10000_fresh,JHEP_Revised/config/madgraph_runs_fresh/Tt1200-80ISR_clic3000ll_nev10000_fresh.mg5,ok,Tt1200-80ISR_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt1200-80ISR_fresh,clic3000ll_nev10000_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt1200-80ISR_fresh/Events/clic3000ll_nev10000_fresh/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1200-80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1200-80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,/media/higinio/Expansion1/MadgraphFresh/Tt1200-80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1200-80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,hard_lhe=ready;decayed_lhe=ready;hepmc=ready;hepmc_gz=ready,ttp_AnalysisISR/files/list_all_files_Tt1200-80ISR_clic3000ll_nev10000_fresh
Tt1200ISR_clic3000ll_nev10000_fresh,JHEP_Revised/config/madgraph_runs_fresh/Tt1200ISR_clic3000ll_nev10000_fresh.mg5,ok,Tt1200ISR_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt1200ISR_fresh,clic3000ll_nev10000_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt1200ISR_fresh/Events/clic3000ll_nev10000_fresh/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1200ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1200ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,/media/higinio/Expansion1/MadgraphFresh/Tt1200ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1200ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,hard_lhe=ready;decayed_lhe=ready;hepmc=ready;hepmc_gz=ready,ttp_AnalysisISR/files/list_all_files_Tt1200ISR_clic3000ll_nev10000_fresh
Tt1200_80ISR_clic3000ll_nev10000_fresh,JHEP_Revised/config/madgraph_runs_fresh/Tt1200_80ISR_clic3000ll_nev10000_fresh.mg5,ok,Tt1200_80ISR_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt1200_80ISR_fresh,clic3000ll_nev10000_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt1200_80ISR_fresh/Events/clic3000ll_nev10000_fresh/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1200_80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1200_80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,/media/higinio/Expansion1/MadgraphFresh/Tt1200_80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1200_80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,hard_lhe=ready;decayed_lhe=ready;hepmc=ready;hepmc_gz=ready,ttp_AnalysisISR/files/list_all_files_Tt1200_80ISR_clic3000ll_nev10000_fresh
Tt1600-80ISR_clic3000ll_nev10000_fresh,JHEP_Revised/config/madgraph_runs_fresh/Tt1600-80ISR_clic3000ll_nev10000_fresh.mg5,ok,Tt1600-80ISR_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt1600-80ISR_fresh,clic3000ll_nev10000_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt1600-80ISR_fresh/Events/clic3000ll_nev10000_fresh/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1600-80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1600-80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,/media/higinio/Expansion1/MadgraphFresh/Tt1600-80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1600-80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,hard_lhe=ready;decayed_lhe=ready;hepmc=ready;hepmc_gz=ready,ttp_AnalysisISR/files/list_all_files_Tt1600-80ISR_clic3000ll_nev10000_fresh
Tt1600ISR_clic3000ll_nev10000_fresh,JHEP_Revised/config/madgraph_runs_fresh/Tt1600ISR_clic3000ll_nev10000_fresh.mg5,ok,Tt1600ISR_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt1600ISR_fresh,clic3000ll_nev10000_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt1600ISR_fresh/Events/clic3000ll_nev10000_fresh/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1600ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1600ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,/media/higinio/Expansion1/MadgraphFresh/Tt1600ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1600ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,hard_lhe=ready;decayed_lhe=ready;hepmc=ready;hepmc_gz=ready,ttp_AnalysisISR/files/list_all_files_Tt1600ISR_clic3000ll_nev10000_fresh
Tt1600_80ISR_clic3000ll_nev10000_fresh,JHEP_Revised/config/madgraph_runs_fresh/Tt1600_80ISR_clic3000ll_nev10000_fresh.mg5,ok,Tt1600_80ISR_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt1600_80ISR_fresh,clic3000ll_nev10000_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt1600_80ISR_fresh/Events/clic3000ll_nev10000_fresh/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1600_80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1600_80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,/media/higinio/Expansion1/MadgraphFresh/Tt1600_80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc.gz,/media/higinio/Expansion1/MadgraphFresh/Tt1600_80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,hard_lhe=ready;decayed_lhe=ready;hepmc=ready;hepmc_gz=ready,ttp_AnalysisISR/files/list_all_files_Tt1600_80ISR_clic3000ll_nev10000_fresh
Tt2000-80ISR_clic3000ll_nev10000_fresh,JHEP_Revised/config/madgraph_runs_fresh/Tt2000-80ISR_clic3000ll_nev10000_fresh.mg5,ok,Tt2000-80ISR_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt2000-80ISR_fresh,clic3000ll_nev10000_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt2000-80ISR_fresh/Events/clic3000ll_nev10000_fresh/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt2000-80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt2000-80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,/media/higinio/Expansion1/MadgraphFresh/Tt2000-80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc.gz,/media/higinio/Expansion1/MadgraphFresh/Tt2000-80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,hard_lhe=ready;decayed_lhe=ready;hepmc=ready;hepmc_gz=ready,ttp_AnalysisISR/files/list_all_files_Tt2000-80ISR_clic3000ll_nev10000_fresh
Tt2000ISR_clic3000ll_nev10000_fresh,JHEP_Revised/config/madgraph_runs_fresh/Tt2000ISR_clic3000ll_nev10000_fresh.mg5,ok,Tt2000ISR_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt2000ISR_fresh,clic3000ll_nev10000_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt2000ISR_fresh/Events/clic3000ll_nev10000_fresh/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt2000ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt2000ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,/media/higinio/Expansion1/MadgraphFresh/Tt2000ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc.gz,/media/higinio/Expansion1/MadgraphFresh/Tt2000ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,hard_lhe=ready;decayed_lhe=ready;hepmc=ready;hepmc_gz=ready,ttp_AnalysisISR/files/list_all_files_Tt2000ISR_clic3000ll_nev10000_fresh
Tt2000_80ISR_clic3000ll_nev10000_fresh,JHEP_Revised/config/madgraph_runs_fresh/Tt2000_80ISR_clic3000ll_nev10000_fresh.mg5,ok,Tt2000_80ISR_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt2000_80ISR_fresh,clic3000ll_nev10000_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt2000_80ISR_fresh/Events/clic3000ll_nev10000_fresh/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt2000_80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt2000_80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,/media/higinio/Expansion1/MadgraphFresh/Tt2000_80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc.gz,/media/higinio/Expansion1/MadgraphFresh/Tt2000_80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,hard_lhe=ready;decayed_lhe=ready;hepmc=ready;hepmc_gz=ready,ttp_AnalysisISR/files/list_all_files_Tt2000_80ISR_clic3000ll_nev10000_fresh
Tt2400-80ISR_clic3000ll_nev10000_fresh,JHEP_Revised/config/madgraph_runs_fresh/Tt2400-80ISR_clic3000ll_nev10000_fresh.mg5,ok,Tt2400-80ISR_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt2400-80ISR_fresh,clic3000ll_nev10000_fresh,/media/higinio/Expansion1/MadgraphFresh/Tt2400-80ISR_fresh/Events/clic3000ll_nev10000_fresh/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt2400-80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/unweighted_events.lhe.gz,/media/higinio/Expansion1/MadgraphFresh/Tt2400-80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,/media/higinio/Expansion1/MadgraphFresh/Tt2400-80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc.gz,/media/higinio/Expansion1/MadgraphFresh/Tt2400-80ISR_fresh/Events/clic3000ll_nev10000_fresh_decayed_1/tag_1_pythia8_events.hepmc,hard_lhe=ready;decayed_lhe=ready;hepmc=ready;hepmc_gz=ready,ttp_AnalysisISR/files/list_all_files_Tt2400-80ISR_clic3000ll_nev10000_fresh
