sample,mode,step,cut,events,weighted_yield,total_cross_section_pb,source
Tt1200-80ISR_isronlyll_nev10000,clean,0,All,10000,1395.5,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000.dat
Tt1200-80ISR_isronlyll_nev10000,clean,1,Fatjet,9991,1394.24,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000.dat
Tt1200-80ISR_isronlyll_nev10000,clean,2,top tagged,3103,433.024,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000.dat
Tt1200-80ISR_isronlyll_nev10000,clean,3,subestructure cut,2604,363.388,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000.dat
Tt1200-80ISR_isronlyll_nev10000,clean,4,Isolated,1628,227.187,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000.dat
Tt1200-80ISR_isronlyll_nev10000,clean,5,M recoil > 1100,1572,219.373,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000.dat
Tt1200-80ISR_isronlyll_nev10000,clean,6,Miss Energy < 1000,1453,202.766,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000.dat
Tt1200-80ISR_isronlyll_nev10000,clean,7,BDT ttbar,1382,192.858,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000.dat
Tt1200-80ISR_isronlyll_nev10000,clean,8,BDT 1200,1372,191.463,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000.dat
Tt1200-80ISR_isronlyll_nev10000,clean,9,BDT 1600,1161,162.018,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000.dat
Tt1200-80ISR_isronlyll_nev10000,clean,10,BDT 2000,1070,149.318,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000.dat
Tt1200-80ISR_isronlyll_nev10000,clean,11,BDT 2400,845,117.92,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000.dat
Tt1200-80ISR_isronlyll_nev10000_ggbx1,overlay_bx1,0,All,10000,1395.5,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000_ggbx1.dat
Tt1200-80ISR_isronlyll_nev10000_ggbx1,overlay_bx1,1,Fatjet,9992,1394.38,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000_ggbx1.dat
Tt1200-80ISR_isronlyll_nev10000_ggbx1,overlay_bx1,2,top tagged,3099,432.465,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000_ggbx1.dat
Tt1200-80ISR_isronlyll_nev10000_ggbx1,overlay_bx1,3,subestructure cut,2597,362.411,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000_ggbx1.dat
Tt1200-80ISR_isronlyll_nev10000_ggbx1,overlay_bx1,4,Isolated,1622,226.35,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000_ggbx1.dat
Tt1200-80ISR_isronlyll_nev10000_ggbx1,overlay_bx1,5,M recoil > 1100,1566,218.535,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000_ggbx1.dat
Tt1200-80ISR_isronlyll_nev10000_ggbx1,overlay_bx1,6,Miss Energy < 1000,1448,202.068,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000_ggbx1.dat
Tt1200-80ISR_isronlyll_nev10000_ggbx1,overlay_bx1,7,BDT ttbar,1374,191.742,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000_ggbx1.dat
Tt1200-80ISR_isronlyll_nev10000_ggbx1,overlay_bx1,8,BDT 1200,1366,190.625,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000_ggbx1.dat
Tt1200-80ISR_isronlyll_nev10000_ggbx1,overlay_bx1,9,BDT 1600,1157,161.459,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000_ggbx1.dat
Tt1200-80ISR_isronlyll_nev10000_ggbx1,overlay_bx1,10,BDT 2000,1067,148.9,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000_ggbx1.dat
Tt1200-80ISR_isronlyll_nev10000_ggbx1,overlay_bx1,11,BDT 2400,842,117.501,2.791,ttp_AnalysisISR/output/out_Tt1200-80ISR_isronlyll_nev10000_ggbx1.dat
Tt1200ISR_isronlyll_nev10000,clean,0,All,10000,1266.35,2.5327,ttp_AnalysisISR/output/out_Tt1200ISR_isronlyll_nev10000.dat
Tt1200ISR_isronlyll_nev10000,clean,1,Fatjet,9988,1264.83,2.5327,ttp_AnalysisISR/output/out_Tt1200ISR_isronlyll_nev10000.dat
Tt1200ISR_isronlyll_nev10000,clean,2,top tagged,3124,395.608,2.5327,ttp_AnalysisISR/output/out_Tt1200ISR_isronlyll_nev10000.dat
Tt1200ISR_isronlyll_nev10000,clean,3,subestructure cut,2675,338.749,2.5327,ttp_AnalysisISR/output/out_Tt1200ISR_isronlyll_nev10000.dat
