sample,mode,step,cut,events,weighted_yield,total_cross_section_pb,source
Tt1200-80ISR_clic3000ll_nev10000_fresh,clean,0,All,10000,1395.1,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh,clean,1,Fatjet,9993,1394.12,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh,clean,2,top tagged,3123,435.69,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh,clean,3,subestructure cut,2647,369.283,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh,clean,4,Isolated,1676,233.819,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh,clean,5,M recoil > 1100,1642,229.075,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh,clean,6,Miss Energy < 1000,1485,207.172,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh,clean,7,BDT ttbar,1418,197.825,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh,clean,8,BDT 1200,1401,195.454,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh,clean,9,BDT 1600,1201,167.552,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh,clean,10,BDT 2000,1076,150.113,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh,clean,11,BDT 2400,881,122.908,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh.dat
