sample,mode,step,cut,events,weighted_yield,total_cross_section_pb,source
Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,0,All,10000,1395.1,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,1,Fatjet,9993,1394.12,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,2,top tagged,3117,434.853,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,3,subestructure cut,2640,368.306,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,4,Isolated,1667,232.563,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,5,M recoil > 1100,1630,227.401,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,6,Miss Energy < 1000,1479,206.335,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,7,BDT ttbar,1414,197.267,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,8,BDT 1200,1390,193.919,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,9,BDT 1600,1193,166.435,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,10,BDT 2000,1075,149.973,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1.dat
Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,11,BDT 2400,880,122.769,0.00027902,ttp_AnalysisISR/output/out_Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1.dat
Tt1200ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,0,All,10000,1265.75,0.00025315,ttp_AnalysisISR/output/out_Tt1200ISR_clic3000ll_nev10000_fresh_ggbx1.dat
Tt1200ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,1,Fatjet,9989,1264.36,0.00025315,ttp_AnalysisISR/output/out_Tt1200ISR_clic3000ll_nev10000_fresh_ggbx1.dat
Tt1200ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,2,top tagged,3130,396.18,0.00025315,ttp_AnalysisISR/output/out_Tt1200ISR_clic3000ll_nev10000_fresh_ggbx1.dat
Tt1200ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,3,subestructure cut,2671,338.082,0.00025315,ttp_AnalysisISR/output/out_Tt1200ISR_clic3000ll_nev10000_fresh_ggbx1.dat
Tt1200ISR_clic3000ll_nev10000_fresh_ggbx1,overlay_bx1,4,Isolated,1666,210.874,0.00025315,ttp_AnalysisISR/output/out_Tt1200ISR_clic3000ll_nev10000_fresh_ggbx1.dat
