sample,base_sample,status,returncode,start,end,log
Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1,Tt1200-80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:50:03,2026-05-29T20:50:21,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/Tt1200-80ISR_clic3000ll_nev10000_fresh_ggbx1.log
Tt1200ISR_clic3000ll_nev10000_fresh_ggbx1,Tt1200ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:50:21,2026-05-29T20:50:38,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/Tt1200ISR_clic3000ll_nev10000_fresh_ggbx1.log
Tt1200_80ISR_clic3000ll_nev10000_fresh_ggbx1,Tt1200_80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:50:38,2026-05-29T20:50:55,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/Tt1200_80ISR_clic3000ll_nev10000_fresh_ggbx1.log
Tt1600-80ISR_clic3000ll_nev10000_fresh_ggbx1,Tt1600-80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:50:55,2026-05-29T20:51:12,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/Tt1600-80ISR_clic3000ll_nev10000_fresh_ggbx1.log
Tt1600ISR_clic3000ll_nev10000_fresh_ggbx1,Tt1600ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:51:12,2026-05-29T20:51:28,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/Tt1600ISR_clic3000ll_nev10000_fresh_ggbx1.log
Tt1600_80ISR_clic3000ll_nev10000_fresh_ggbx1,Tt1600_80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:51:28,2026-05-29T20:51:46,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/Tt1600_80ISR_clic3000ll_nev10000_fresh_ggbx1.log
Tt2000-80ISR_clic3000ll_nev10000_fresh_ggbx1,Tt2000-80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:51:46,2026-05-29T20:52:02,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/Tt2000-80ISR_clic3000ll_nev10000_fresh_ggbx1.log
Tt2000ISR_clic3000ll_nev10000_fresh_ggbx1,Tt2000ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:52:02,2026-05-29T20:52:19,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/Tt2000ISR_clic3000ll_nev10000_fresh_ggbx1.log
Tt2000_80ISR_clic3000ll_nev10000_fresh_ggbx1,Tt2000_80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:52:19,2026-05-29T20:52:35,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/Tt2000_80ISR_clic3000ll_nev10000_fresh_ggbx1.log
Tt2400-80ISR_clic3000ll_nev10000_fresh_ggbx1,Tt2400-80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:52:35,2026-05-29T20:52:51,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/Tt2400-80ISR_clic3000ll_nev10000_fresh_ggbx1.log
Tt2400ISR_clic3000ll_nev10000_fresh_ggbx1,Tt2400ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:52:51,2026-05-29T20:53:07,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/Tt2400ISR_clic3000ll_nev10000_fresh_ggbx1.log
Tt2400_80ISR_clic3000ll_nev10000_fresh_ggbx1,Tt2400_80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:53:07,2026-05-29T20:53:23,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/Tt2400_80ISR_clic3000ll_nev10000_fresh_ggbx1.log
ttbar-80ISR_clic3000ll_nev10000_fresh_ggbx1,ttbar-80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:53:23,2026-05-29T20:53:39,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/ttbar-80ISR_clic3000ll_nev10000_fresh_ggbx1.log
ttbarISR_clic3000ll_nev10000_fresh_ggbx1,ttbarISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:53:39,2026-05-29T20:53:55,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/ttbarISR_clic3000ll_nev10000_fresh_ggbx1.log
ttbar_80ISR_clic3000ll_nev10000_fresh_ggbx1,ttbar_80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:53:55,2026-05-29T20:54:11,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/ttbar_80ISR_clic3000ll_nev10000_fresh_ggbx1.log
tth-80ISR_clic3000ll_nev10000_fresh_ggbx1,tth-80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:54:11,2026-05-29T20:54:29,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/tth-80ISR_clic3000ll_nev10000_fresh_ggbx1.log
tthISR_clic3000ll_nev10000_fresh_ggbx1,tthISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:54:29,2026-05-29T20:54:47,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/tthISR_clic3000ll_nev10000_fresh_ggbx1.log
tth_80ISR_clic3000ll_nev10000_fresh_ggbx1,tth_80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:54:47,2026-05-29T20:55:05,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/tth_80ISR_clic3000ll_nev10000_fresh_ggbx1.log
ttz-80ISR_clic3000ll_nev10000_fresh_ggbx1,ttz-80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:55:05,2026-05-29T20:55:22,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/ttz-80ISR_clic3000ll_nev10000_fresh_ggbx1.log
ttzISR_clic3000ll_nev10000_fresh_ggbx1,ttzISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:55:22,2026-05-29T20:55:38,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/ttzISR_clic3000ll_nev10000_fresh_ggbx1.log
ttz_80ISR_clic3000ll_nev10000_fresh_ggbx1,ttz_80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:55:38,2026-05-29T20:55:55,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/ttz_80ISR_clic3000ll_nev10000_fresh_ggbx1.log
w_w-z-80ISR_clic3000ll_nev10000_fresh_ggbx1,w_w-z-80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:55:55,2026-05-29T20:56:04,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/w_w-z-80ISR_clic3000ll_nev10000_fresh_ggbx1.log
w_w-zISR_clic3000ll_nev10000_fresh_ggbx1,w_w-zISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:56:04,2026-05-29T20:56:13,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/w_w-zISR_clic3000ll_nev10000_fresh_ggbx1.log
w_w-z_80ISR_clic3000ll_nev10000_fresh_ggbx1,w_w-z_80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:56:13,2026-05-29T20:56:22,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh_overlay/w_w-z_80ISR_clic3000ll_nev10000_fresh_ggbx1.log
