sample,base_sample,status,returncode,start,end,log
Tt1200-80ISR_clic3000ll_nev10000_fresh,Tt1200-80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:43:59,2026-05-29T20:44:16,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/Tt1200-80ISR_clic3000ll_nev10000_fresh.log
Tt1200ISR_clic3000ll_nev10000_fresh,Tt1200ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:44:16,2026-05-29T20:44:32,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/Tt1200ISR_clic3000ll_nev10000_fresh.log
Tt1200_80ISR_clic3000ll_nev10000_fresh,Tt1200_80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:44:32,2026-05-29T20:44:48,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/Tt1200_80ISR_clic3000ll_nev10000_fresh.log
Tt1600-80ISR_clic3000ll_nev10000_fresh,Tt1600-80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:44:48,2026-05-29T20:45:04,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/Tt1600-80ISR_clic3000ll_nev10000_fresh.log
Tt1600ISR_clic3000ll_nev10000_fresh,Tt1600ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:45:04,2026-05-29T20:45:20,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/Tt1600ISR_clic3000ll_nev10000_fresh.log
Tt1600_80ISR_clic3000ll_nev10000_fresh,Tt1600_80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:45:20,2026-05-29T20:45:36,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/Tt1600_80ISR_clic3000ll_nev10000_fresh.log
Tt2000-80ISR_clic3000ll_nev10000_fresh,Tt2000-80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:45:36,2026-05-29T20:45:52,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/Tt2000-80ISR_clic3000ll_nev10000_fresh.log
Tt2000ISR_clic3000ll_nev10000_fresh,Tt2000ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:45:52,2026-05-29T20:46:07,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/Tt2000ISR_clic3000ll_nev10000_fresh.log
Tt2000_80ISR_clic3000ll_nev10000_fresh,Tt2000_80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:46:07,2026-05-29T20:46:23,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/Tt2000_80ISR_clic3000ll_nev10000_fresh.log
Tt2400-80ISR_clic3000ll_nev10000_fresh,Tt2400-80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:46:23,2026-05-29T20:46:38,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/Tt2400-80ISR_clic3000ll_nev10000_fresh.log
Tt2400ISR_clic3000ll_nev10000_fresh,Tt2400ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:46:38,2026-05-29T20:46:53,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/Tt2400ISR_clic3000ll_nev10000_fresh.log
Tt2400_80ISR_clic3000ll_nev10000_fresh,Tt2400_80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:46:53,2026-05-29T20:47:08,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/Tt2400_80ISR_clic3000ll_nev10000_fresh.log
ttbar-80ISR_clic3000ll_nev10000_fresh,ttbar-80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:47:08,2026-05-29T20:47:23,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/ttbar-80ISR_clic3000ll_nev10000_fresh.log
ttbarISR_clic3000ll_nev10000_fresh,ttbarISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:47:23,2026-05-29T20:47:38,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/ttbarISR_clic3000ll_nev10000_fresh.log
ttbar_80ISR_clic3000ll_nev10000_fresh,ttbar_80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:47:38,2026-05-29T20:47:53,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/ttbar_80ISR_clic3000ll_nev10000_fresh.log
tth-80ISR_clic3000ll_nev10000_fresh,tth-80ISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:47:53,2026-05-29T20:48:10,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/tth-80ISR_clic3000ll_nev10000_fresh.log
tthISR_clic3000ll_nev10000_fresh,tthISR_clic3000ll_nev10000_fresh,ok,0,2026-05-29T20:48:10,2026-05-29T20:48:27,JHEP_Revised/logs/reconstruction_queue_clic3000ll_fresh/tthISR_clic3000ll_nev10000_fresh.log
