sample,base_sample,status,returncode,start,end,log
Tt1200-80ISR_isronlyll_nev10000,Tt1200-80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:17:02,2026-05-28T15:17:22,JHEP_Revised/logs/reconstruction_queue/Tt1200-80ISR_isronlyll_nev10000.log
Tt1200-80ISR_isronlyll_nev10000_ggbx1,Tt1200-80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:17:35,2026-05-28T15:17:54,JHEP_Revised/logs/reconstruction_queue/Tt1200-80ISR_isronlyll_nev10000_ggbx1.log
Tt1200ISR_isronlyll_nev10000,Tt1200ISR_isronlyll_nev10000,ok,0,2026-05-28T15:22:04,2026-05-28T15:22:21,JHEP_Revised/logs/reconstruction_queue/Tt1200ISR_isronlyll_nev10000.log
Tt1200ISR_isronlyll_nev10000_ggbx1,Tt1200ISR_isronlyll_nev10000,ok,0,2026-05-28T15:23:36,2026-05-28T15:23:57,JHEP_Revised/logs/reconstruction_queue/Tt1200ISR_isronlyll_nev10000_ggbx1.log
Tt1200_80ISR_isronlyll_nev10000,Tt1200_80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:22:21,2026-05-28T15:22:39,JHEP_Revised/logs/reconstruction_queue/Tt1200_80ISR_isronlyll_nev10000.log
Tt1200_80ISR_isronlyll_nev10000_ggbx1,Tt1200_80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:23:57,2026-05-28T15:24:16,JHEP_Revised/logs/reconstruction_queue/Tt1200_80ISR_isronlyll_nev10000_ggbx1.log
Tt1600-80ISR_isronlyll_nev10000,Tt1600-80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:22:39,2026-05-28T15:22:55,JHEP_Revised/logs/reconstruction_queue/Tt1600-80ISR_isronlyll_nev10000.log
Tt1600-80ISR_isronlyll_nev10000_ggbx1,Tt1600-80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:24:16,2026-05-28T15:24:36,JHEP_Revised/logs/reconstruction_queue/Tt1600-80ISR_isronlyll_nev10000_ggbx1.log
Tt1600ISR_isronlyll_nev10000,Tt1600ISR_isronlyll_nev10000,ok,0,2026-05-28T15:22:55,2026-05-28T15:23:12,JHEP_Revised/logs/reconstruction_queue/Tt1600ISR_isronlyll_nev10000.log
Tt1600ISR_isronlyll_nev10000_ggbx1,Tt1600ISR_isronlyll_nev10000,ok,0,2026-05-28T15:24:36,2026-05-28T15:24:54,JHEP_Revised/logs/reconstruction_queue/Tt1600ISR_isronlyll_nev10000_ggbx1.log
Tt1600_80ISR_isronlyll_nev10000,Tt1600_80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:23:12,2026-05-28T15:23:30,JHEP_Revised/logs/reconstruction_queue/Tt1600_80ISR_isronlyll_nev10000.log
Tt1600_80ISR_isronlyll_nev10000_ggbx1,Tt1600_80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:24:54,2026-05-28T15:25:12,JHEP_Revised/logs/reconstruction_queue/Tt1600_80ISR_isronlyll_nev10000_ggbx1.log
Tt2000-80ISR_isronlyll_nev10000,Tt2000-80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:28:25,2026-05-28T15:28:42,JHEP_Revised/logs/reconstruction_queue/Tt2000-80ISR_isronlyll_nev10000.log
Tt2000-80ISR_isronlyll_nev10000_ggbx1,Tt2000-80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:29:15,2026-05-28T15:29:33,JHEP_Revised/logs/reconstruction_queue/Tt2000-80ISR_isronlyll_nev10000_ggbx1.log
Tt2000ISR_isronlyll_nev10000,Tt2000ISR_isronlyll_nev10000,ok,0,2026-05-28T15:28:42,2026-05-28T15:28:58,JHEP_Revised/logs/reconstruction_queue/Tt2000ISR_isronlyll_nev10000.log
Tt2000ISR_isronlyll_nev10000_ggbx1,Tt2000ISR_isronlyll_nev10000,ok,0,2026-05-28T15:29:33,2026-05-28T15:29:51,JHEP_Revised/logs/reconstruction_queue/Tt2000ISR_isronlyll_nev10000_ggbx1.log
Tt2000_80ISR_isronlyll_nev10000,Tt2000_80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:28:58,2026-05-28T15:29:15,JHEP_Revised/logs/reconstruction_queue/Tt2000_80ISR_isronlyll_nev10000.log
Tt2000_80ISR_isronlyll_nev10000_ggbx1,Tt2000_80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:29:51,2026-05-28T15:30:11,JHEP_Revised/logs/reconstruction_queue/Tt2000_80ISR_isronlyll_nev10000_ggbx1.log
Tt2400-80ISR_isronlyll_nev10000,Tt2400-80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:34:43,2026-05-28T15:35:00,JHEP_Revised/logs/reconstruction_queue/Tt2400-80ISR_isronlyll_nev10000.log
Tt2400-80ISR_isronlyll_nev10000_ggbx1,Tt2400-80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:35:34,2026-05-28T15:35:51,JHEP_Revised/logs/reconstruction_queue/Tt2400-80ISR_isronlyll_nev10000_ggbx1.log
Tt2400ISR_isronlyll_nev10000,Tt2400ISR_isronlyll_nev10000,ok,0,2026-05-28T15:35:00,2026-05-28T15:35:16,JHEP_Revised/logs/reconstruction_queue/Tt2400ISR_isronlyll_nev10000.log
Tt2400ISR_isronlyll_nev10000_ggbx1,Tt2400ISR_isronlyll_nev10000,ok,0,2026-05-28T15:35:51,2026-05-28T15:36:08,JHEP_Revised/logs/reconstruction_queue/Tt2400ISR_isronlyll_nev10000_ggbx1.log
Tt2400_80ISR_isronlyll_nev10000,Tt2400_80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:35:16,2026-05-28T15:35:34,JHEP_Revised/logs/reconstruction_queue/Tt2400_80ISR_isronlyll_nev10000.log
Tt2400_80ISR_isronlyll_nev10000_ggbx1,Tt2400_80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:36:08,2026-05-28T15:36:25,JHEP_Revised/logs/reconstruction_queue/Tt2400_80ISR_isronlyll_nev10000_ggbx1.log
ttbar-80ISR_isronlyll_nev10000,ttbar-80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:38:26,2026-05-28T15:38:42,JHEP_Revised/logs/reconstruction_queue/ttbar-80ISR_isronlyll_nev10000.log
ttbar-80ISR_isronlyll_nev10000_ggbx1,ttbar-80ISR_isronlyll_nev10000,ok,0,2026-05-28T15:39:14,2026-05-28T15:39:31,JHEP_Revised/logs/reconstruction_queue/ttbar-80ISR_isronlyll_nev10000_ggbx1.log
ttbarISR_isronlyll_nev10000,ttbarISR_isronlyll_nev10000,ok,0,2026-05-28T15:38:42,2026-05-28T15:38:58,JHEP_Revised/logs/reconstruction_queue/ttbarISR_isronlyll_nev10000.log
