kappa,mass_GeV,S,B,Z
0.1,1200,49.4805,6939.28,0.591881
0.1,1600,42.057,6939.28,0.503349
0.1,2000,25.7739,6939.28,0.308829
0.1,2400,6.86952,6939.28,0.0824241
0.15,1200,112.014,6939.28,1.33394
0.15,1600,95.0684,6939.28,1.13351
0.15,2000,55.5627,6939.28,0.664346
0.15,2400,14.861,6939.28,0.178208
0.2,1200,198.877,6939.28,2.35392
0.2,1600,165.612,6939.28,1.96478
0.2,2000,97.0486,6939.28,1.15695
0.2,2400,25.564,6939.28,0.306318
0.25,1200,309.976,6939.28,3.64067
0.25,1600,253.474,6939.28,2.98873
0.25,2000,146.088,6939.28,1.73553
0.25,2400,37.7167,6939.28,0.451543
0.3,1200,447.862,6939.28,5.21082
0.3,1600,360.778,6939.28,4.22257
0.3,2000,203.655,6939.28,2.40967
0.35,1200,610.168,6939.28,7.0225
0.35,1600,481.063,6939.28,5.58457
0.4,1200,789.595,6939.28,8.98144
0.45,1200,956.372,6939.28,10.763
0.5,1200,1167.16,6939.28,12.9633
