mass_GeV,kappa,width_GeV
1200,0.10,5.5796
1200,0.15,12.5539
1200,0.20,22.3178
1200,0.25,34.8716
1200,0.30,50.215
1200,0.35,68.349
1200,0.40,89.272
1200,0.45,112.984
1200,0.50,139.487
1200,0.55,168.779
1200,0.60,200.858
1200,0.65,235.735
1200,0.70,273.396
1200,0.75,313.848
1600,0.10,13.3178
1600,0.15,29.9645
1600,0.20,53.271
1600,0.25,83.236
1600,0.30,119.859
1600,0.35,163.142
1600,0.40,213.079
1600,0.45,269.687
2000,0.10,26.095
2000,0.15,58.714
2000,0.20,104.38
2000,0.25,163.093
2000,0.30,234.856
2000,0.35,319.658
2000,0.40,417.51
2400,0.10,45.171
2400,0.15,101.634
2400,0.20,180.682
2400,0.25,282.319
2400,0.30,406.53
